timestamp,S 1 temperature,S 1 humidity,S 2 temperature,S 2 humidity,S 3 temperature,S 3 humidity,S 4 temperature,S 4 humidity,S 5 temperature,S 5 humidity,S 6 temperature,S 6 humidity,S 7 temperature,S 7 humidity,S 8 temperature,S 8 humidity,S 9 temperature,S 9 humidity,S 10 temperature,S 10 humidity,S 11 temperature,S 11 humidity,S 12 temperature,S 12 humidity,S 13 temperature,S 13 humidity,S 14 temperature,S 14 humidity,S 15 temperature,S 15 humidity,S 16 temperature,S 16 humidity,S 17 temperature,S 17 humidity
2022-04-26 19:31:00,33.45960236,85.13008118,33.2005806,83.52025604,32.99229431,84.19317627,33.26199722,86.45304108,33.14984512,87.24040222,,,33.1071167,88.79225159,32.92553711,87.72563934,32.8828125,90.18844604,,,,,,,,,,,,,,,,
2022-04-26 19:32:00,33.54238129,85.18196106,33.24330521,83.46990204,33.07774353,84.23742676,33.334095,86.50492096,33.20592117,87.26787567,33.10444641,87.5333786,33.19256973,88.68695831,33.0403595,87.78973389,32.98428345,90.17623901,33.25932693,87.49828339,33.05371094,89.42549896,32.97360229,89.39192963,33.53170013,87.15800476,33.16586685,88.75105286,33.12046814,91.46562958,37.36095047,60.61035919,,
2022-04-26 19:33:00,33.72663498,84.80049133,33.36880875,83.33104706,33.25932693,84.07415771,33.51834869,86.19210815,33.37414932,87.04356384,33.28602982,87.42961884,33.44625092,88.28565216,33.20859146,87.53795624,33.20859146,89.8008728,33.35812759,87.55626678,33.12313843,89.45601654,33.07240295,89.5170517,33.60379791,87.28313446,33.24864578,88.79377747,33.16319656,91.49919891,37.45975494,60.93232727,,
2022-04-26 19:34:00,34.02304077,84.28931427,33.61180878,83.06248474,33.48630524,83.60570526,33.80140305,85.70839691,33.65987778,86.62699127,33.56908417,86.89707947,33.75600815,87.59899139,33.49164581,86.99473572,33.53437042,89.15846252,33.54238129,87.32738495,33.334095,89.2469635,33.29671097,89.32326508,33.81475449,87.16716003,33.40619659,88.51911163,33.33142471,91.3481369,37.64400864,61.09712219,,
2022-04-26 19:35:00,34.33546829,83.54772186,33.86548996,82.58182526,33.79339218,82.94651794,34.12718582,84.99275208,33.98565674,86.03341675,33.92156982,86.17532349,34.1538887,86.72922516,33.81475449,86.33097076,33.90287781,88.1940918,33.82276535,86.88945007,33.60379791,88.74646759,33.55306244,88.82887268,34.06843567,86.77958679,33.63050461,88.10253906,33.55840302,90.95750427,37.92706299,61.10627747,,
2022-04-26 19:36:00,34.68795395,82.70084381,34.16189957,81.92721558,34.08979797,82.18356323,34.46631622,84.24810791,34.3114357,85.23994446,34.31677628,85.23536682,34.56244659,85.74349213,34.19661331,85.58785248,34.33813858,87.10307312,34.16189957,86.11581421,33.96963501,88.05218506,33.87884521,88.18035889,34.41024017,86.0151062,33.94026184,87.45708466,33.83878708,90.41275787,38.26619339,60.40131378,,
2022-04-26 19:37:00,35.05645752,81.84481812,34.44495392,81.25429535,34.42893219,81.45418549,34.82146835,83.40581512,34.67994308,84.46326447,34.75204086,84.24353027,34.94697571,84.65552521,34.54909515,84.70130157,34.73334885,85.90524292,34.51438141,85.35439301,34.33813858,87.2495575,34.24200821,87.32738495,34.79209518,85.11329651,34.24734879,86.78416443,34.12451172,89.70778656,38.66407394,59.95727539,,
2022-04-26 19:38:00,35.40894318,80.97047424,34.78675461,80.5661087,34.79476547,80.68512726,35.18730545,82.55435944,35.0617981,83.60723114,35.16327286,83.15403748,35.34218216,83.62401581,34.91493225,83.80865479,35.1979866,84.67841339,34.84016037,84.48920441,34.68795395,86.3355484,34.61051178,86.41184235,35.15793228,84.26032257,34.58647919,85.9647522,34.43427277,88.87159729,39.01922607,58.54123688,,
2022-04-26 19:39:00,35.74807358,80.05950928,35.08049011,79.87182617,35.0617981,79.77111816,35.52643585,81.66628265,35.41695404,82.71305084,35.62791061,82.05081177,35.72404099,82.63980865,35.24071121,82.91142273,35.60921478,83.44091034,35.21667862,83.57823944,35.05645752,85.40627289,34.96566772,85.43831635,35.53978729,83.23643494,34.92294312,85.11177063,34.74403,87.9911499,39.4010849,57.83626938,,
2022-04-26 19:40:00,36.10055542,79.18974304,35.39292145,79.16075134,35.41428375,79.00205994,35.86556625,80.84535217,35.75608444,81.83108521,36.02311707,80.92774963,36.105896,81.62050629,35.60387421,82.0553894,36.04447937,82.19577026,35.56916046,82.74967194,35.45166779,84.44495392,35.30479813,84.46326447,35.90829468,82.27054596,35.23537064,84.21148682,35.02708435,87.05729675,39.78026962,57.69588852,,
