timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
28/4/2022 11:42,27.5,22.2,21.8,26.4,25.2
28/4/2022 12:37,27.5,26.2,25.9,26.1,24.2
28/4/2022 13:45,29.4,24.6,26,24.7,24.4
28/4/2022 15:36,23.9,17.3,19,19,16.6
28/4/2022 16:43,20,19.4,24.2,19.1,19.5
28/4/2022 18:03,27.2,26.2,22.9,19.9,23.1
28/4/2022 18:55,23.3,25.7,25.1,24.3,25.7
28/4/2022 19:55,24.9,25.2,26.2,23.9,21.4
28/4/2022 20:55,23.9,21.6,19.7,19.4,19.1
28/4/2022 22:00,17.3,17,15.1,16,19
28/4/2022 23:03,16,18.2,17.5,19.4,17.8
28/4/2022 23:55,15.8,15.5,15.3,14.8,14.9
29/4/2022 0:46,14.4,13.9,16,14.3,14.2
29/4/2022 1:55,17.5,13.8,14.9,14.7,17.8
29/4/2022 2:54,14.3,14.6,14.9,14.1,14.5
29/4/2022 3:52,13.3,13.4,12.6,13.4,14.4
29/4/2022 4:52,12.1,13.9,13.4,13.1,12.4
29/4/2022 6:01,11.6,14.3,13.2,11.4,19.5
29/4/2022 7:05,11.5,10.4,10.3,10.7,10.2
29/4/2022 7:58,10,10,10,10,10.2
