timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
28/4/2022 15:33,26.5,27.4,24,26,24.6
28/4/2022 16:45,21.2,22.1,19.6,22.3,25.2
28/4/2022 17:56,28.2,24.6,24.8,25.5,26.4
28/4/2022 18:57,23.4,25.5,25.6,23.6,23.1
28/4/2022 19:57,21.4,22.1,26,23.6,24.7
28/4/2022 21:00,21.4,23.6,22.3,24.7,20.5
28/4/2022 22:00,15.2,22,15.2,26.5,23.9
28/4/2022 23:03,16.6,16,16.2,23.6,25.5
28/4/2022 23:57,24.3,26.6,24.8,22.5,26
29/4/2022 0:46,22.3,21.6,23.8,16.6,21.3
29/4/2022 1:57,18.3,17.4,18.2,18.4,18.1
29/4/2022 2:54,16.5,15.8,16.8,16,16.2
29/4/2022 3:52,15.5,15.3,15.2,15.8,15.8
29/4/2022 4:52,15.1,14.7,14.9,14.9,14.7
29/4/2022 6:01,13.1,13.3,14,15,13.5
29/4/2022 7:05,12.4,12.6,13.1,13.3,13.4
29/4/2022 7:58,12.1,12.1,14.2,13.3,13.5
29/4/2022 9:02,11.6,11.5,11.1,11.2,10.8
29/4/2022 10:03,11.7,10.1,10.5,10.2,10.9
