timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
28/4/2022 10:43,20.8,23.8,25.2,29,27.9
28/4/2022 11:39,24.4,22.6,23.9,23.4,26.5
28/4/2022 12:34,23.6,24.3,25.3,24,25.6
28/4/2022 13:39,22.9,27.7,23,25.9,25.3
28/4/2022 15:37,26,24,20.9,25.2,23.6
28/4/2022 16:40,21.3,20,21.3,19.5,24.3
28/4/2022 19:02,27.7,25.5,24.8,23.5,22.6
28/4/2022 19:59,21,24.8,22.7,23.3,22.3
28/4/2022 20:55,19.1,19,19.9,19.2,20
28/4/2022 22:00,15.6,15.2,15.4,14.6,15.2
28/4/2022 23:02,16.6,15.4,16.2,19.5,15.5
28/4/2022 23:59,14.6,14.5,14.8,14.6,15.2
29/4/2022 0:46,14.2,13.5,14.3,13.4,20.3
29/4/2022 1:59,13.6,13.2,14.9,14,12.8
29/4/2022 2:54,13.9,13.3,12.6,13.4,12.5
29/4/2022 3:52,12,12.6,12.8,12.5,12
