timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
26/4/2022 19:35,30,28.6,30,28.2,29.1
26/4/2022 20:27,26.4,26.4,25.5,25.9,24
26/4/2022 21:30,24.6,22.9,20.3,24.4,25.7
26/4/2022 22:43,17.7,17.5,16.9,16.4,17.3
26/4/2022 23:39,15.5,15.4,14.9,15.1,14.9
27/4/2022 0:38,15.2,14.9,15,14.8,14.8
27/4/2022 1:39,21.6,15.3,16.6,14.9,17.7
27/4/2022 2:31,15.8,13.3,15.8,17,16.8
27/4/2022 3:32,17.1,15.8,15.2,15.4,15.5
27/4/2022 4:32,16.5,13.7,13.7,14.1,14.4
27/4/2022 5:33,13.9,14.2,13.5,13.8,13.7
27/4/2022 6:37,12.4,12.2,16,12.6,12.1
27/4/2022 7:44,12.5,11.6,12.1,12.5,12.9
