timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
30/3/2022 16:51,17.3,17.5,17.8,17,17.1
30/3/2022 17:53,17.3,18.8,16.9,16.8,16.4
30/3/2022 18:47,23.1,23.4,17.7,20.4,19.5
30/3/2022 19:50,18.3,18.3,17.8,18.6,18.3
30/3/2022 20:55,18.7,18.3,19.5,20.1,17.1
30/3/2022 21:50,19.4,19.1,20.9,19.6,20
30/3/2022 22:50,18.2,17.1,19,17.7,17.1
30/3/2022 23:50,17.8,17.8,18.7,17.7,17.5
31/3/2022 0:50,17.7,17,16.8,17.4,17.3
31/3/2022 1:50,15.8,15.6,16.1,16.1,16
31/3/2022 2:50,15.4,14.9,14.9,14.7,15.7
31/3/2022 4:10,14,14.1,14.3,14,13.9
31/3/2022 5:00,13.4,13.2,13.2,13.6,14.2
31/3/2022 6:00,11.8,12.6,16.6,12.6,12.5
31/3/2022 7:00,12.1,12.6,12.9,13.8,12.3
31/3/2022 8:00,12.5,11.7,12.4,11.7,12.8
31/3/2022 9:00,10.3,10.1,10.1,9.6,10
