timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
8/4/2022 11:38,21.7 ,21.6 ,21.6 ,21.6 ,20.1 
8/4/2022 11:57,20.9 ,29.2 ,27.7 ,23.9 ,18.2 
8/4/2022 13:07,22.6 ,20.7 ,24.3 ,29.0 ,21.3 
8/4/2022 14:16,18.4 ,20.4 ,22.3 ,22.2 ,20.0 
8/4/2022 15:11,19.1 ,20.0 ,21.4 ,21.0 ,22.2 
8/4/2022 16:18,22.9 ,22.9 ,24.2 ,24.2 ,22.1 
8/4/2022 17:17,23.8 ,24.6 ,21.4 ,22.9 ,23.5 
8/4/2022 18:14,22.7 ,22.7 ,24.2 ,20.0 ,24.6 
8/4/2022 19:16,22.5 ,23.4 ,24.7 ,21.7 ,20.9 
8/4/2022 19:49,25.9 ,23.0 ,22.9 ,23.0 ,25.5 
8/4/2022 21:30,24.8 ,24.2 ,24.2 ,25.5 ,27.4 
8/4/2022 22:22,25.3 ,27.0 ,26.8 ,24.0 ,24.6 
8/4/2022 23:19,22.3 ,23.6 ,23.6 ,24.4 ,28.8 
9/4/2022 0:17,20.0 ,21.4 ,20.7 ,20.3 ,22.2 
9/4/2022 1:23,17.0 ,19.5 ,18.2 ,17.1 ,22.3 
9/4/2022 2:15,18.6 ,19.7 ,19.0 ,18.2 ,19.2 
9/4/2022 3:22,16.5 ,17.3 ,17.9 ,17.0 ,17.3 
9/4/2022 4:24,17.3 ,16.4 ,16.4 ,15.8 ,19.7 
9/4/2022 5:24,16.1 ,15.8 ,15.8 ,17.8 ,15.8 
9/4/2022 6:26,16.1 ,16.5 ,14.1 ,15.4 ,14.6 
9/4/2022 7:23,14.0 ,14.1 ,13.7 ,13.6 ,14.3 
9/4/2022 8:20,12.9 ,13.0 ,13.4 ,12.6 ,13.0 
9/4/2022 9:38,12.8 ,13.4 ,14.3 ,13.9 ,13.5 
9/4/2022 10:47,12.2 ,11.6 ,10.7 ,11.1 ,10.4 
9/4/2022 11:55,11.7 ,12.8 ,11.7 ,11.9 ,11.6 
