timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
13/4/2022 12:52,18.7 ,18.2 ,17.9 ,18.6 ,19.7 
13/4/2022 14:23,17.8 ,19.2 ,17.7 ,16.8 ,19.6 
13/4/2022 15:30,17.5 ,17.9 ,18.1 ,19.5 ,19.6 
13/4/2022 17:02,20.1 ,19.7 ,18.6 ,19.2 ,18.4 
13/4/2022 18:29,19.7 ,19.1 ,19.5 ,18.6 ,18.3 
13/4/2022 19:35,18.4 ,18.2 ,19.1 ,19.7 ,18.8 
13/4/2022 21:41,16.1 ,19.6 ,17.9 ,17.5 ,19.6 
13/4/2022 22:45,18.7 ,18.6 ,19.0 ,18.3 ,16.8 
13/4/2022 23:24,19.0 ,16.6 ,15.8 ,17.5 ,15.6 
14/4/2022 0:35,13.3 ,12.4 ,11.9 ,12.0 ,12.6 
14/4/2022 1:27,12.9 ,11.8 ,13.6 ,11.7 ,11.9 
14/4/2022 2:21,10.1 ,11.0 ,11.0 ,11.8 ,11.4 
14/4/2022 3:40,10.5 ,10.9 ,10.9 ,11.0 ,10.9 
14/4/2022 4:29,9.5 ,11.1 ,11.6 ,10.0 ,11.1 
14/4/2022 5:23,11.8 ,11.2 ,12.0 ,10.1 ,10.1 
