timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
12/4/2022 20:23,21.0 ,20.9 ,19.2 ,20.0 ,18.4 
12/4/2022 21:28,19.4 ,21.2 ,22.5 ,21.0 ,22.0 
12/4/2022 22:25,18.8 ,21.2 ,21.7 ,23.6 ,24.7 
12/4/2022 23:26,21.8 ,27.9 ,26.5 ,22.1 ,22.9 
13/4/2022 0:45,18.6 ,20.9 ,20.5 ,22.5 ,20.1 
13/4/2022 1:31,20.0 ,21.0 ,22.0 ,22.5 ,20.5 
13/4/2022 2:53,20.0 ,18.6 ,21.6 ,18.7 ,19.4 
13/4/2022 3:37,19.9 ,19.7 ,17.9 ,19.9 ,22.7 
13/4/2022 4:40,20.4 ,20.0 ,22.6 ,21.4 ,20.0 
13/4/2022 5:38,19.7 ,18.8 ,16.6 ,18.6 ,19.5 
13/4/2022 6:38,21.2 ,18.4 ,16.0 ,18.7 ,17.7 
13/4/2022 7:37,15.5 ,15.5 ,15.6 ,15.4 ,15.2 
13/4/2022 8:33,13.6 ,13.3 ,13.6 ,14.3 ,14.0 
13/4/2022 9:36,14.2 ,12.9 ,14.6 ,14.4 ,14.9 
13/4/2022 10:29,13.6 ,13.6 ,12.6 ,12.1 ,12.9 
13/4/2022 11:38,11.4 ,10.2 ,10.7 ,10.7 ,10.3 
13/4/2022 12:43,10.7 ,11.0 ,10.9 ,10.3 ,10.7 
13/4/2022 14:20,,,8.8 ,,
