timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
28/4/2022 15:40,18.4,19,21,19,20
28/4/2022 16:38,24.4,20.9,20,19.5,24.8
28/4/2022 18:51,24.9,26.1,24.4,23.9,25.7
28/4/2022 19:42,25.5,24.7,25.9,24.9,25.5
28/4/2022 20:48,17.3,17.9,17.4,17.4,17.4
28/4/2022 22:00,26.1,25.5,25.7,15.8,15.6
28/4/2022 23:02,25.9,25.7,25.2,25.3,26.4
28/4/2022 23:48,22.9,16.8,22,25.3,27.8
29/4/2022 0:46,20.5,25.3,24.7,17.8,17.5
29/4/2022 1:48,15.9,16.9,16.4,16.6,15.9
29/4/2022 2:54,17.8,17.8,19.7,16.6,16.9
29/4/2022 3:52,16.4,16.8,16.2,15.8,15.9
29/4/2022 4:52,16.8,15.7,15.8,16.8,16
29/4/2022 6:01,18.4,14.4,17.1,14.5,14.9
29/4/2022 7:05,15,14.1,15.5,15.5,15.4
29/4/2022 7:58,14.3,14.6,14.3,15,15.4
29/4/2022 9:02,13.9,12.6,13,13.3,13.5
29/4/2022 10:58,11.6,11.8,12,12.1,12.6
