timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
12/4/2022 15:30,18.8 ,21.0 ,19.5 ,19.7 ,18.6 
12/4/2022 16:33,17.5 ,18.1 ,18.6 ,17.8 ,17.9 
12/4/2022 17:36,19.1 ,18.7 ,21.0 ,18.1 ,21.8 
12/4/2022 18:43,17.9 ,16.6 ,20.1 ,19.1 ,20.1 
12/4/2022 19:47,20.4 ,18.7 ,22.7 ,19.1 ,19.6 
12/4/2022 20:23,22.5 ,20.5 ,20.8 ,19.4 ,20.1 
12/4/2022 21:28,22.5 ,22.0 ,21.4 ,20.4 ,23.9 
12/4/2022 22:25,16.5 ,21.0 ,21.6 ,19.6 ,19.6 
12/4/2022 23:26,19.1 ,20.3 ,21.4 ,21.7 ,19.6 
13/4/2022 0:45,17.3 ,17.7 ,20.0 ,17.8 ,18.3 
13/4/2022 1:31,16.1 ,16.4 ,15.9 ,16.8 ,19.4 
13/4/2022 2:53,14.3 ,13.1 ,13.7 ,14.5 ,15.2 
13/4/2022 3:37,14.6 ,13.2 ,13.6 ,13.9 ,13.4 
13/4/2022 4:40,12.9 ,14.0 ,12.9 ,13.1 ,13.1 
13/4/2022 5:38,12.5 ,12.6 ,13.2 ,12.8 ,13.4 
13/4/2022 6:38,11.3 ,11.2 ,11.0 ,11.7 ,12.0 
13/4/2022 7:37,11.3 ,11.8 ,10.8 ,11.0 ,10.7 
13/4/2022 8:33,9.6 ,10.9 ,10.1 ,10.5 ,11.6 
13/4/2022 9:36,8.8 ,9.3 ,8.5 ,8.5 ,8.5 
