timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
8/4/2022 14:16,20.4 ,23.1 ,22.8 ,20.4 ,19.7 
8/4/2022 15:11,23.1 ,22.2 ,21.8 ,20.1 ,23.0 
8/4/2022 16:18,23.8 ,24.0 ,27.9 ,23.9 ,23.3 
8/4/2022 17:17,22.5 ,24.6 ,27.9 ,24.6 ,24.0 
8/4/2022 18:14,22.0 ,23.4 ,25.7 ,25.7 ,23.6 
8/4/2022 19:16,24.8 ,21.7 ,23.1 ,25.6 ,23.1 
8/4/2022 19:49,22.3 ,24.0 ,24.9 ,25.7 ,23.4 
8/4/2022 21:30,28.2 ,27.2 ,19.1 ,22.3 ,26.5 
8/4/2022 22:22,25.5 ,25.6 ,26.1 ,26.2 ,27.2 
8/4/2022 23:19,26.1 ,23.6 ,24.0 ,22.7 ,24.9 
9/4/2022 0:17,20.3 ,21.2 ,19.7 ,18.4 ,19.9 
9/4/2022 1:23,15.9 ,17.4 ,18.1 ,17.1 ,25.5 
9/4/2022 2:15,15.9 ,15.0 ,15.3 ,15.2 ,15.1 
9/4/2022 3:22,14.3 ,14.6 ,14.6 ,13.3 ,14.9 
9/4/2022 4:24,14.1 ,14.1 ,14.3 ,13.4 ,13.7 
9/4/2022 5:24,14.0 ,11.4 ,11.6 ,12.3 ,12.4 
9/4/2022 6:26,11.5 ,13.8 ,11.1 ,11.7 ,10.7 
9/4/2022 7:23,13.3 ,10.8 ,10.9 ,10.1 ,11.5 
9/4/2022 8:20,9.9 ,10.2 ,9.3 ,12.5 ,11.3 
9/4/2022 9:38,9.7 ,9.8 ,10.5 ,10.1 ,9.4 
9/4/2022 10:47,8.9 ,9.1 ,9.4 ,8.8 ,8.7 
