timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
26/4/2022 19:35,26.9,26.6,27.9,28.6,24.9
26/4/2022 20:27,29,30,27.2,27.5,28.3
26/4/2022 21:30,21.2,21.6,22.2,29.9,24.9
26/4/2022 22:43,15.6,15.5,15.3,15.7,15.3
26/4/2022 23:39,14.9,14.8,15,14.7,14.8
27/4/2022 0:38,14.7,14.7,14.8,17.5,28.5
27/4/2022 1:39,26.4,18.4,18.3,17.8,17.7
27/4/2022 2:31,23.4,21.6,19.1,17.8,17.9
27/4/2022 3:32,23.1,16.2,17.3,18.7,23.1
27/4/2022 4:32,15.8,17,17,16.2,16.2
27/4/2022 5:33,15.6,14.4,16.8,16.5,15.5
27/4/2022 6:37,16.8,16.6,16.6,15.2,15.2
27/4/2022 7:44,15.2,14.9,15.5,16.2,16
27/4/2022 8:31,14.7,11.6,12.4,13.7,13.9
27/4/2022 9:12,12.3,12.2,12.1,14.2,13.7
27/4/2022 10:40,12.2,12.8,12.6,10.4,13.9
,,,,,
