timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
23/3/2022 20:13,24.9,20.4,20.5,20.3,27.3
23/3/2022 21:15,20.8,25.1,23.8,24,19.4
23/3/2022 22:13,20.3,20.9,19.5,26.6,21.4
23/3/2022 23:16,21,21,22.1,20.7,20.3
24/3/2022 0:11,20.7,20.3,25.2,21.8,19.2
24/3/2022 1:18,18.3,18.6,22,21,21.8
24/3/2022 2:19,19.2,20,24,18.6,17.9
24/3/2022 3:14,23.1,21,20.4,21.4,20.9
24/3/2022 4:15,18.1,20.9,19.1,20.8,18.7
24/3/2022 5:16,16.5,18.3,18.1,15.8,18.1
24/3/2022 6:13,15,15.3,15.8,16.4,15.5
24/3/2022 7:13,14.9,13.5,14.3,14.6,14
24/3/2022 8:13,13.6,11.9,13.3,13.3,13.3
24/3/2022 10:14,11.2,11.4,12.3,11.1,10.1
24/3/2022 11:08,10.3,11.5,10.5,11.4,9.9
24/3/2022 12:13,9.7,10.9,9.5,9.6,10.3
24/3/2022 13:20,8.8,8.8,8.8,9.1,9.2
