timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
5/4/2022 21:50,30.0 ,26.2 ,27.4 ,26.5 ,29.1 
5/4/2022 22:50,26.8 ,24.7 ,24.0 ,25.6 ,28.2 
5/4/2022 23:50,27.7 ,25.5 ,31.0 ,31.0 ,32.0 
6/4/2022 0:50,24.9 ,23.9 ,23.3 ,29.0 ,21.0 
6/4/2022 1:50,18.7 ,25.1 ,18.7 ,20.3 ,26.2 
6/4/2022 2:50,16.6 ,16.2 ,15.5 ,21.8 ,16.0 
6/4/2022 3:50,16.6 ,15.5 ,15.7 ,15.4 ,15.1 
6/4/2022 4:50,14.8 ,14.9 ,15.9 ,14.5 ,16.4 
6/4/2022 5:50,14.5 ,14.3 ,15.6 ,14.4 ,13.7 
6/4/2022 6:50,14.0 ,15.5 ,14.3 ,14.4 ,15.7 
6/4/2022 7:50,14.6 ,13.9 ,14.3 ,12.9 ,13.5 
