timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
17/3/2022 19:18,25.5,26.4,23.5,23.1,25.5
17/3/2022 20:26,23,21.8,22.3,23.6,27.9
17/3/2022 21:21,24.8,27.7,23.5,23.4,23.6
17/3/2022 22:20,24.6,21.7,23.3,23.3,24.3
17/3/2022 23:23,22.6,23,21.4,22.9,19.7
18/3/2022 0:19,23.1,23,24.7,22.7,24.4
18/3/2022 1:15,21.8,20.9,21.8,22.7,19.8
18/3/2022 2:15,22.3,24.7,22.2,20.1,22.1
18/3/2022 3:15,20.1,20.9,22.9,20.4,19.9
18/3/2022 4:20,23.1,24.2,22.2,24.7,26.9
18/3/2022 5:20,21.3,21.3,20.7,21.4,21.8
18/3/2022 6:19,19,18.6,22.7,21.6,20
18/3/2022 7:19,20.1,19.7,20.7,18.4,19.4
18/3/2022 8:18,15.8,17.7,17,17.5,18.7
18/3/2022 10:06,13.9,14.3,15.2,14.9,15.9
18/3/2022 11:11,14.4,14,14.1,15.1,18.1
18/3/2022 12:07,14.3,14.5,14.4,14.4,14
18/3/2022 13:08,12.1,11.8,12.2,12.9,12.1
18/3/2022 14:03,12.2,12.9,11.4,11.7,12
18/3/2022 15:01,10.1,12.1,11.8,11.5,11.3
