timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
27/4/2022 14:59,31,27.3,24.9,28.2,25.3
27/4/2022 15:53,27.5,24.3,24,25.7,29
27/4/2022 16:52,29.1,29,28.3,27.8,24.3
27/4/2022 17:58,26.6,29.2,26,27.8,28.2
27/4/2022 19:30,26.2,25.5,28.8,28.5,26.9
27/4/2022 22:31,28.5,29,28.3,32,26.1
27/4/2022 23:28,26.8,27.3,29.1,29,28.7
28/4/2022 0:31,28.2,28.6,27.7,28.5,28.6
28/4/2022 1:31,20.3,17.1,18.4,20.5,22.2
28/4/2022 2:28,23.3,23.3,22,24,24.9
28/4/2022 3:31,17,17.8,18.3,22.7,17.3
28/4/2022 4:24,17.1,15.8,15.7,15.8,18.3
28/4/2022 6:01,14.8,14.7,15.6,15.5,15
28/4/2022 6:30,14.9,14.6,14.1,14.6,15.4
28/4/2022 7:31,13.4,13.5,15.2,14,16.4
28/4/2022 8:30,13,12.4,13.7,13.7,14.2
28/4/2022 10:40,11.3,11,12.2,12,13.3
