timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
27/4/2022 12:31,23.9,25.6,26.1,27.7,22.2
27/4/2022 14:58,23.1,26.4,22.6,24.2,22.7
27/4/2022 16:02,26.6,26.5,26.2,28.7,29
27/4/2022 16:47,28.1,28.2,27.4,28.1,29
27/4/2022 17:51,25.6,23.4,25.2,26.1,23.1
27/4/2022 18:56,23.9,25.3,24.6,25.3,25.3
27/4/2022 19:46,18.6,19.4,24.4,22.1,22
27/4/2022 22:32,15.9,18.4,19,17.7,15.3
27/4/2022 23:28,16.2,16.1,15.1,15.2,16
28/4/2022 0:32,17.7,15.1,13.2,20.1,14.6
28/4/2022 1:32,14.6,14.3,16.2,14.5,14.2
28/4/2022 2:32,12.6,12.8,13.9,13.3,14.6
28/4/2022 3:32,17.1,12.6,12.3,12,12.3
