timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
27/4/2022 14:59,23.1,24.8,23,21.8,22.3
27/4/2022 15:58,27.7,27.8,24.8,26.6,28.2
27/4/2022 17:14,22.5,19,22.7,20.4,24.6
27/4/2022 17:54,24,22.9,22.9,25.3,21.2
27/4/2022 18:52,24.7,25.1,22.9,27.7,26.5
27/4/2022 19:56,23.5,22.5,24,23.4,23.1
27/4/2022 22:32,17.8,14.4,14.9,15.1,19.7
27/4/2022 23:28,16.6,17.1,16.2,18.7,16.5
28/4/2022 0:32,15.3,14.9,15.6,14.9,15.8
28/4/2022 1:32,14.6,14,14.4,14.8,14.4
28/4/2022 2:32,14.6,15.3,15.4,15.1,14.3
28/4/2022 3:32,12.2,13.2,11.9,12.4,12.2
,,,,,
,,,,,
,,,,,
,,,,,
