timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
7/4/2022 14:32,19.4 ,19.5 ,19.1 ,20.9 ,20.3 
7/4/2022 15:29,18.7 ,21.4 ,19.5 ,23.3 ,20.4 
7/4/2022 16:46,20.1 ,20.8 ,19.2 ,19.2 ,18.2 
7/4/2022 17:58,21.3 ,22.5 ,23.8 ,20.0 ,21.0 
7/4/2022 19:11,22.5 ,24.0 ,23.1 ,22.6 ,22.7 
7/4/2022 19:58,23.3 ,23.0 ,21.2 ,22.2 ,21.8 
7/4/2022 21:26,21.4 ,20.0 ,24.2 ,24.2 ,23.4 
7/4/2022 22:27,22.6 ,22.7 ,22.5 ,19.2 ,25.1 
7/4/2022 23:39,14.5 ,13.8 ,13.3 ,13.6 ,13.9 
8/4/2022 0:43,14.2 ,15.2 ,13.8 ,14.6 ,13.7 
8/4/2022 1:46,17.9 ,14.6 ,13.5 ,13.1 ,14.9 
8/4/2022 2:40,13.5 ,13.0 ,12.3 ,12.6 ,13.5 
8/4/2022 3:41,13.3 ,13.4 ,12.0 ,12.1 ,12.5 
8/4/2022 4:39,12.8 ,12.2 ,11.9 ,11.4 ,11.2 
