timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
18/3/2022 18:57,19.9,19.5,18.4,23.6,22.5
18/3/2022 20:10,19.2,19.9,20.5,18.6,17.1
18/3/2022 21:15,21.2,21.2,24.6,23.1,23
18/3/2022 22:06,21.6,23,20.5,21.6,20
18/3/2022 23:03,21.8,20,22.2,21.7,19.9
19/3/2022 0:09,20.4,20.8,21,21.3,20.7
19/3/2022 1:04,19.7,21.8,19.9,22.1,19.9
19/3/2022 2:07,21.8,19.5,18.2,18.4,18.6
19/3/2022 3:07,16.6,20.5,22.5,19.1,19.7
19/3/2022 4:06,20,17.5,19.6,19.9,19.6
19/3/2022 5:07,22.1,19.9,22.3,21.7,20.4
19/3/2022 6:06,20,19.5,20,20,20.4
19/3/2022 7:15,20.8,18.3,19.2,19.9,20.3
19/3/2022 8:06,17,20.5,16.9,17.8,17.5
19/3/2022 9:04,16.5,19.5,20.7,16.2,17.3
19/3/2022 11:06,14.6,14,14.8,14.9,14.6
19/3/2022 12:11,13.3,13.4,12.2,14.1,14.9
19/3/2022 14:23,12,11,10.9,11.5,12.6
19/3/2022 15:33,10.7,11.3,11.6,10.7,11.5
