timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
5/4/2022 21:50,23.5 ,25.6 ,27.5 ,25.2 ,24.8 
5/4/2022 22:50,22.0 ,23.1 ,23.6 ,22.7 ,23.0 
5/4/2022 23:50,22.0 ,23.6 ,22.7 ,24.4 ,23.9 
6/4/2022 0:50,23.8 ,18.1 ,19.6 ,23.4 ,17.5 
6/4/2022 1:50,14.0 ,15.1 ,13.9 ,15.1 ,15.2 
6/4/2022 2:50,15.6 ,15.1 ,14.7 ,14.3 ,15.2 
6/4/2022 3:50,15.2 ,15.5 ,15.5 ,15.2 ,14.9 
6/4/2022 4:50,13.0 ,13.9 ,12.4 ,13.8 ,13.3 
6/4/2022 5:50,11.5 ,14.1 ,11.8 ,14.9 ,14.9 
6/4/2022 6:50,13.0 ,11.7 ,11.9 ,11.7 ,13.0 
6/4/2022 7:50,11.3 ,11.8 ,11.4 ,13.2 ,12.4 
